"File","ExitCode","DurationMs","Hit_SingleSlashEq","Hit_DoubleSlashDash","Hit_RuntimeStrMatch","Hit_UntypedCaseStrPat","Hit_UntypedTableStrPat","Hit_TrailingSpaces","ScanLog","CompileOut","CompileErr","ErrorKind","FirstError","ErrorDetail"
"lib\src\albanian\AdjectiveSqi.gf","0","289","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_AdjectiveSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_AdjectiveSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_AdjectiveSqi.gf.err.txt","OK","",""
"lib\src\albanian\AdverbSqi.gf","0","268","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_AdverbSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_AdverbSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_AdverbSqi.gf.err.txt","OK","",""
"lib\src\albanian\AllSqi.gf","1","1950","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_AllSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_AllSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_AllSqi.gf.err.txt","OTHER","lib\src\albanian\NounSqi.gf:",""
"lib\src\albanian\AllSqiAbs.gf","0","100","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_AllSqiAbs.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_AllSqiAbs.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_AllSqiAbs.gf.err.txt","OK","",""
"lib\src\albanian\CatSqi.gf","0","60","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_CatSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_CatSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_CatSqi.gf.err.txt","OK","",""
"lib\src\albanian\ConjunctionSqi.gf","0","64","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_ConjunctionSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ConjunctionSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ConjunctionSqi.gf.err.txt","OK","",""
"lib\src\albanian\ConstructionSqi.gf","0","985","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_ConstructionSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ConstructionSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ConstructionSqi.gf.err.txt","OK","",""
"lib\src\albanian\DocumentationSqi.gf","0","732","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_DocumentationSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_DocumentationSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_DocumentationSqi.gf.err.txt","OK","",""
"lib\src\albanian\ExtendSqi.gf","1","257","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_ExtendSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ExtendSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ExtendSqi.gf.err.txt","OTHER","lib\src\albanian\GrammarSqi.gf:",""
"lib\src\albanian\ExtraSqi.gf","0","299","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_ExtraSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ExtraSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ExtraSqi.gf.err.txt","OK","",""
